sample_id	major_count	minor_count
HG00101	79500	2820
HG00139	79457	2860
HG00126	79056	3265
HG00114	79234	3053
HG00103	79663	2652
HG00121	79349	2962
HG00145	79332	2984
HG00143	79287	3008
HG00138	79270	3042
HG00123	79420	2899
HG00107	78933	3359
HG00125	79509	2801
HG00129	79327	2977
HG00141	79527	2795
HG00105	79011	3275
HG00127	79693	2626
HG00111	79543	2775
HG00140	78829	3471
HG00118	79175	3138
HG00110	79074	3231
HG00113	79270	3038
HG00150	78860	3443
HG00133	79267	3041
HG00122	79258	3059
HG00102	79250	3061
HG00120	79599	2716
HG00119	79271	3030
HG00130	79217	3097
HG00117	79671	2650
HG00112	79225	3081
HG00116	79455	2861
HG00149	79474	2833
HG00131	79034	3266
HG00142	79354	2959
HG00108	79448	2873
HG00137	79153	3145
HG00136	79700	2622
HG00146	79357	2943
HG00099	79403	2898
HG00148	79262	3052
HG00151	79452	2860
HG00106	78975	3325
HG00128	79565	2752
HG00109	79128	3182
HG00154	79411	2903
HG00100	79543	2771
HG00096	78914	3386
HG00097	79208	3102
HG00115	78872	3439
HG00132	79773	2549
